x, y
-4.000000, 0.818773
-3.900000, 0.784151
-3.800000, 0.752181
-3.700000, 0.723737
-3.600000, 0.699415
-3.500000, 0.679592
-3.400000, 0.664494
-3.300000, 0.654242
-3.200000, 0.648896
-3.100000, 0.648481
-3.000000, 0.652999
-2.900000, 0.662429
-2.800000, 0.676719
-2.700000, 0.695759
-2.600000, 0.719347
-2.500000, 0.747132
-2.400000, 0.778562
-2.300000, 0.812813
-2.200000, 0.848736
-2.100000, 0.884827
-2.000000, 0.919248
-1.900000, 0.949925
-1.800000, 0.974733
-1.700000, 0.991757
-1.600000, 0.999574
-1.500000, 0.997503
-1.400000, 0.985727
-1.300000, 0.965259
-1.200000, 0.937758
-1.100000, 0.905264
-1.000000, 0.869906
-0.900000, 0.833680
-0.800000, 0.798290
-0.700000, 0.765093
-0.600000, 0.735096
-0.500000, 0.709002
-0.400000, 0.687273
-0.300000, 0.670190
-0.200000, 0.657912
-0.100000, 0.650521
0.000000, 0.648054
0.100000, 0.650521
0.200000, 0.657912
0.300000, 0.670190
0.400000, 0.687273
0.500000, 0.709002
0.600000, 0.735096
0.700000, 0.765093
0.800000, 0.798290
0.900000, 0.833680
1.000000, 0.869906
1.100000, 0.905264
1.200000, 0.937758
1.300000, 0.965259
1.400000, 0.985727
1.500000, 0.997503
1.600000, 0.999574
1.700000, 0.991757
1.800000, 0.974733
1.900000, 0.949925
2.000000, 0.919248
2.100000, 0.884827
2.200000, 0.848736
2.300000, 0.812813
2.400000, 0.778562
2.500000, 0.747132
2.600000, 0.719347
2.700000, 0.695759
2.800000, 0.676719
2.900000, 0.662429
3.000000, 0.652999
3.100000, 0.648481
3.200000, 0.648896
3.300000, 0.654242
3.400000, 0.664494
3.500000, 0.679592
3.600000, 0.699415
3.700000, 0.723737
3.800000, 0.752181
3.900000, 0.784151
